seed	galaxynumber	starid	单极磁	初始星系可燃冰	初始星系潮汐锁定	距离	铁	铜	硅	钛	石	煤	原油涌泉	可燃冰	金伯利	分形硅	有机晶体	光栅石	刺笋	氢气	重氢	可燃冰
726845	64	60	8	1	0	2.967533	28	33	22	20	21	14	22	1	2	9	3	2	2	0.84	0.13	0
2594003	64	58	5	1	0	4.023922	22	34	23	20	31	13	22	2	1	2	2	1	3	0.93	0.04	0
2874403	64	60	3	0	0	4.469111	39	48	14	32	17	12	18	4	2	2	4	1	1	0.95	0.04	0
3634373	64	56	7	1	0	4.175082	25	34	20	18	29	12	12	3	7	4	5	2	1	0.84	0.04	0
4121953	64	60	5	1	0	4.410238	39	38	16	35	17	11	14	4	2	5	1	3	1	0.77	0.15	0
4348508	64	59	10	0	0	4.07289	41	31	13	23	12	11	18	5	2	3	1	1	3	0.81	0.04	0
5094800	64	60	5	1	0	4.59542	32	24	22	28	21	13	20	2	2	2	1	1	1	0.84	0.04	0
7343293	64	60	4	1	0	3.876809	38	41	20	20	29	13	12	3	3	1	2	1	1	0.94	0.03	0
10873475	64	60	4	1	0	4.816816	43	37	27	23	17	15	22	5	10	2	1	2	1	0.95	0.04	0
11000651	64	57	8	0	0	4.745568	37	28	19	26	14	14	22	7	3	1	2	1	2	1.13	0.16	0.67
12636075	64	56	4	0	0	4.811366	39	47	20	25	20	14	18	1	3	2	2	1	1	0.86	0.04	0
21743347	64	59	3	0	0	4.343696	21	35	5	22	21	11	12	6	1	1	1	1	1	0.8	0.15	0
27685131	64	60	4	1	0	4.280922	20	27	15	20	24	10	22	4	1	2	1	1	1	0.75	0.15	0
29328820	64	60	6	1	0	4.498473	43	36	26	22	21	17	22	7	4	7	1	2	1	0.77	0.14	0
29832478	64	51	13	1	0	2.402822	37	40	17	33	18	13	22	12	4	3	2	2	1	0.92	0.04	0
31779165	64	60	21	1	0	3.800617	39	36	28	27	17	15	22	2	6	7	1	2	1	0.8	0.14	0
34378603	64	56	5	0	0	4.338499	50	32	14	30	13	12	14	1	1	5	2	13	1	0.78	0.16	0
40140622	64	46	9	0	0	3.905077	26	36	8	32	23	12	12	9	1	3	1	2	1	0.8	0.14	0
42861281	64	40	6	1	0	2.420284	37	50	15	31	19	13	22	2	1	3	1	7	2	0.84	0.04	0
